month,code,country,population,totalVaccinations,vaccinationsPer100
Apr,SGP,Singapore,5850343,1667522,28.50
Apr,SLB,Solomon Islands,686878,,0.00
Apr,SLE,Sierra Leone,7976985,37680,0.47
Apr,SLV,El Salvador,6486201,310793,4.79
Apr,SMR,San Marino,33938,17707,52.17
Apr,SOM,Somalia,15893219,,0.00
Apr,SRB,Serbia,6804596,2882854,42.37
Apr,SSD,South Sudan,11193729,,0.00
Apr,STP,Sao Tome and Principe,219161,,0.00
Apr,SUR,Suriname,586634,33640,5.73
Apr,SVK,Slovakia,5459643,1199816,21.98
Apr,SVN,Slovenia,2078932,466300,22.43
Apr,SWE,Sweden,10099270,2119890,20.99
Apr,SWZ,Eswatini,1160164,20262,1.75
Apr,SYC,Seychelles,98340,108749,110.58
Apr,SYR,Syria,17500657,2500,0.01
Apr,TCD,Chad,16425859,,0.00
Apr,TGO,Togo,8278737,82753,1.00
Apr,THA,Thailand,69799978,579305,0.83
Apr,TJK,Tajikistan,9537642,,0.00
Apr,TLS,Timor,1318442,,0.00
Apr,TTO,Trinidad and Tobago,1399491,4777,0.34
Apr,TUN,Tunisia,11818618,163010,1.38
Apr,TUR,Turkey,84339067,19062758,22.60
Apr,TWN,Taiwan,23816775,25882,0.11
Apr,TZA,Tanzania,59734213,,0.00
Apr,UGA,Uganda,45741000,180969,0.40
Apr,UKR,Ukraine,43733759,403556,0.92
Apr,URY,Uruguay,3473727,1133002,32.62
Apr,USA,United States,331002647,192282781,58.09
Apr,UZB,Uzbekistan,33469199,148642,0.44
Apr,VAT,Vatican,809,,0.00
Apr,VCT,Saint Vincent and the Grenadines,110947,12124,10.93
Apr,VEN,Venezuela,28435943,250000,0.88
Apr,VNM,Vietnam,97338583,58037,0.06
Apr,VUT,Vanuatu,307150,,0.00
Apr,WSM,Samoa,198410,,0.00
Apr,YEM,Yemen,29825968,,0.00
Apr,ZAF,South Africa,59308690,292623,0.49
Apr,ZMB,Zambia,18383956,,0.00
Apr,ZWE,Zimbabwe,14862927,234579,1.58
